case,candidate_id,hypothesis,variant,verilog_path,aig_path,verified_truth,synthesized,equivalent,area,delay,adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,runtime_sec,classification,notes
ex260,ex260_smul_baugh_wooley_wallace_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_baugh_wooley_wallace_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.198,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_wreduce_abc_g_aig,signed low4_high4:a*b,baugh_wooley_wallace+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_baugh_wooley_wallace_wreduce_abc_g_aig.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.204,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=wreduce_abc_g_aig
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d9,signed low4_high4:a*b,baugh_wooley_wallace+synth_preset_d9,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d9.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.245,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d9
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d13,signed low4_high4:a*b,baugh_wooley_wallace+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.246,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d13
ex260,ex260_smul_baugh_wooley_wallace_synth_preset_d18,signed low4_high4:a*b,baugh_wooley_wallace+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_baugh_wooley_wallace_synth_preset_d18.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.242,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=synth_preset_d18
ex260,ex260_smul_baugh_wooley_wallace_abc_g_aig_d13,signed low4_high4:a*b,baugh_wooley_wallace+abc_g_aig_d13,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_baugh_wooley_wallace.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_baugh_wooley_wallace_abc_g_aig_d13.aig,1,1,1,91,14,1274,657,1.939117,0,0,0.196,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=baugh_wooley_wallace; flow=abc_g_aig_d13
ex260,ex260_smul_booth_radix4_balanced_abc_g_aig,signed low4_high4:a*b,booth_radix4_balanced+abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_booth_radix4_balanced_abc_g_aig.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.229,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=abc_g_aig
ex260,ex260_smul_booth_radix4_balanced_wreduce_abc_g_aig,signed low4_high4:a*b,booth_radix4_balanced+wreduce_abc_g_aig,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_booth_radix4_balanced_wreduce_abc_g_aig.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.228,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=wreduce_abc_g_aig
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d9,signed low4_high4:a*b,booth_radix4_balanced+synth_preset_d9,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d9.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.289,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d9
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d13,signed low4_high4:a*b,booth_radix4_balanced+synth_preset_d13,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d13.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.294,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d13
ex260,ex260_smul_booth_radix4_balanced_synth_preset_d18,signed low4_high4:a*b,booth_radix4_balanced+synth_preset_d18,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/verilog/ex260_smul_booth_radix4_balanced.v,student/work/ex260_ex264_frontend_smul_baugh_wallace_20260609_0247/ex260/aigs/ex260_smul_booth_radix4_balanced_synth_preset_d18.aig,1,1,1,103,16,1648,657,2.508371,0,0,0.291,semantic_signed_mul_exact,exact signed low4 * signed high4 over 256 inputs; source=booth_radix4_balanced; flow=synth_preset_d18
